funcionario_id;funcionario_nome;funcionario_sobrenome;funcionario_cnh;funcionario_telefone;funcionario_email;cargo_nome;status_funcionario_nome;usuario_id;usuario_nome;usuario_apelido;veiculo_id;veiculo_placa;veiculo_modelo;veiculo_marca;veiculo_cor;veiculo_status;servico_inicio;servico_fim;servico_valor;reserva_id;reserva_data;despesa_id;despesa_motivo;despesa_valor;despesa_data;aprovacao_id;aprovacao_data;aprovacao_hora;devolucao_id;devolucao_data;manutencao_id;manutencao_data;manutencao_descricao;manutencao_valor;permissao_nome
6;Ana;Oliveira;11223344556;11777777777;ana@email.com;Mecânico;Disponível;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2;Ana;Souza;987654321;11987651234;ana@email.com;Gerente;Disponível;2;Ana Souza;anas;2;XYZ5678;Van Y;Mercedes;Preto;2;2025-03-02 09:00:00;2025-03-02 17:00:00;450.00;2;2025-03-06;NULL;NULL;NULL;NULL;2;2025-03-06;11:00:00;2;2025-03-08;2;2025-03-11;Substituição de freios;300.00;Usuário Comum
2;Ana;Souza;987654321;11987651234;ana@email.com;Gerente;Disponível;4;Marcos Souza;marcos;2;XYZ5678;Van Y;Mercedes;Preto;2;2025-03-02 09:00:00;2025-03-02 17:00:00;450.00;2;2025-03-06;NULL;NULL;NULL;NULL;2;2025-03-06;11:00:00;2;2025-03-08;2;2025-03-11;Substituição de freios;300.00;NULL
4;Carlos;Silva;12345678900;11999999999;carlos@email.com;Motorista;Disponível;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1;Carlos;Silva;1234567890;11987654321;carlos@email.com;Motorista;Disponível;1;Carlos Silva;carloss;1;ABC1234;Caminhão X;Volvo;Branco;1;2025-03-01 08:00:00;2025-03-01 18:00:00;500.00;1;2025-03-05;NULL;NULL;NULL;NULL;1;2025-03-05;10:00:00;1;2025-03-07;1;2025-03-10;Troca de óleo;150.00;Administrador
1;Carlos;Silva;1234567890;11987654321;carlos@email.com;Motorista;Disponível;3;Carlos Silva;carlos;1;ABC1234;Caminhão X;Volvo;Branco;1;2025-03-01 08:00:00;2025-03-01 18:00:00;500.00;1;2025-03-05;NULL;NULL;NULL;NULL;1;2025-03-05;10:00:00;1;2025-03-07;1;2025-03-10;Troca de óleo;150.00;Usuário Comum
3;Marcos;Lima;1122334455;11981234567;marcos@email.com;Mecânico;Em uso;5;Ana Oliveira;ana;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
5;Marcos;Souza;98765432100;11888888888;marcos@email.com;Gerente;Em uso;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
